,Address,Name,Type,Artist,Description,Year,Longitude,Latitude,Cluster
23,"179 Leicester Street, CARLTON",Thomas Ferguson Memorial Drinking Fountain,Monument,unknown,Stone drinking fountain,1912,-37.8015394618203,144.960227228018,0.0
35,"401 King Street, WEST MELBOURNE",Separation Memorial,Monument,unknown,Mixed stone sculpture,1950,-37.810695135969,144.953685908935,0.0
49,"392 William Street, MELBOURNE",Sundial,Art,unknown,Bronze sundial on sandstone plinth,unknown,-37.8103161768399,144.954937553695,0.0
59,"5 Jeffcott Street, WEST MELBOURNE",City Living,Art,Andrew Rogers,Bronze sculpture,1995,-37.8114750198729,144.953165492089,0.0
74,"395 King Street, WEST MELBOURNE",Pioneer Monument,Monument,Samuel Craven,Sandstone obelisk,1871,-37.810801327848,144.953954497374,0.0
75,"394 William Street, MELBOURNE",The Court Favourite,Art,Paul Montford,Bronze statue with granite pedestal,unknown,-37.81026401562,144.955039032582,0.0
107,"64 Therry Street, MELBOURNE",Wind Contrivance,Art,Pauline Fraser,"Bronze, Red Gum and Harcourt granite sculpture",1995,-37.8072519167223,144.959230533317,0.0
124,"92 Therry Street, MELBOURNE",Passage,Monument,Mark Stoner,Bluestone sculpture,1994,-37.8074524440917,144.958306664206,0.0
125,"76 Errol Street, NORTH MELBOURNE",Henderson Drinking Fountain,Art,Walter MacFarlane,Cast-iron drinking fountain,1877,-37.8033418056724,144.949739183347,0.0
202,"62 Therry Street, MELBOURNE",Dairy Hall Window,Art,Artist Bernice McPherson; architect Craig Perry,Glass and steel window,1996,-37.8072067768463,144.959271667297,0.0
206,"512 Elizabeth Street, MELBOURNE",Duke and Duchess of York Memorial,Monument,J. Churchman & Sons,"Marble, granite and sandstone drinking fountain,",1901,-37.806629256046,144.959908916093,0.0
220,"439 Queen Street, MELBOURNE",John Batman Memorial (1),Monument,J.W. Brown,Bluestone cairn,unknown,-37.8081354860573,144.957645863417,0.0
225,"404 Queen Street, MELBOURNE",Island Wave,Art,Lisa Young,Steel sculpture on concrete footing,2003,-37.809326383142,144.958057203226,0.0
40,"55B Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.815142895306,144.941571658474,1.0
41,"55B Newquay Promenade, DOCKLANDS",Silence,Art,Adrian Mauriks,Sculpture,2003,-37.8150960305524,144.941483193022,1.0
